LTCH_Num,Date,PHU_Num,PHU,LTC_Home,City,Beds,Total_LTC_Resident_Cases,Total_LTC_Resident_Deaths,Total_LTC_HCW_Cases,homeType,ResCouncil,FamCouncil,Accreditation,Annual_Orders,Annual_Non.compliance,Targeted_Inspect_Num,Targeted_Orders,Targeted_Non.compliance,Home,Pain,Depression,PressureUlcers,PhysicalRestraintUse,Falls,AntiPhsychoticMedUse
1013,2021-01-24,2230,Durham,sunnycrest nursing home,Whitby,136,0,34,4,For-Profit,Yes,Yes,Yes,0.0,5.0,0.0,2.0,4.0,sunnycrest nursing home,15.163000000000,28.974000000000,1.095000000000,2.366000000000,19.418000000000,16.173000000000
1021,2021-03-12,2270,York Region,river glen haven nursing home,Sutton West,119,4,36,4,For-Profit,Yes,Yes,Yes,6.0,21.0,0.0,0.0,0.0,river glen haven nursing home,19.315000000000,34.496000000000,0.970000000000,12.981000000000,23.408000000000,29.907000000000
1023,2020-12-06,2236,Halton,wellington park care centre,Burlington,132,0,0,4,For-Profit,Yes,Yes,Yes,1.0,5.0,0.0,0.0,1.0,wellington park care centre,2.343000000000,15.223000000000,3.658000000000,0.000000000000,22.562000000000,24.401000000000
1030,2021-02-23,2244,Middlesex-London,middlesex terrace,Delaware,105,0,18,0,For-Profit,Yes,Yes,Yes,0.0,1.0,0.0,6.0,3.0,middlesex terrace,3.285000000000,19.044000000000,1.884000000000,0.000000000000,28.132000000000,16.550000000000
1033,2021-01-30,2265,Waterloo,golden years nursing home,Cambridge,88,0,4,0,For-Profit,Yes,Yes,No,6.0,14.0,0.0,3.0,2.0,golden years nursing home,8.029000000000,33.720000000000,4.021000000000,0.711000000000,21.431000000000,37.838000000000
1041,2021-02-23,3895,Toronto,downsview long term care centre,North York,252,0,64,4,For-Profit,Yes,Yes,Yes,,,,,,downsview long term care centre,0.172000000000,10.730000000000,1.863000000000,3.520000000000,12.748000000000,23.586000000000
1049,2021-02-07,4913,South West,maple manor nursing home,Tillsonburg,107,4,20,0,For-Profit,Yes,Yes,Yes,1.0,10.0,0.0,0.0,0.0,maple manor nursing home,3.708000000000,22.972000000000,2.026000000000,5.406000000000,27.820000000000,28.206000000000
1053,2020-05-25,2233,Grey-Bruce,parkview manor health care centre,Chesley,34,4,0,0,For-Profit,Yes,Yes,Yes,1.0,4.0,0.0,1.0,1.0,parkview manor health care centre,8.223000000000,25.888000000000,4.319000000000,0.000000000000,16.515000000000,1.816000000000
1056,2021-02-12,2234,Haldimand-Norfolk,dover cliffs,Port Dover,70,0,0,4,For-Profit,Yes,Yes,Yes,1.0,7.0,2.0,8.0,5.0,dover cliffs,2.612000000000,14.532000000000,1.001000000000,4.555000000000,11.329000000000,13.581000000000
1064,2021-02-07,2268,Windsor-Essex,tilbury manor nursing home,Tilbury,75,0,0,4,For-Profit,Yes,Yes,Yes,2.0,6.0,0.0,0.0,0.0,tilbury manor nursing home,1.272000000000,29.758000000000,3.511000000000,0.000000000000,16.588000000000,0.000000000000
1115,2021-03-12,2240,Chatham-Kent,copper terrace,Chatham,138,0,0,4,For-Profit,Yes,Yes,Yes,0.0,0.0,2.0,5.0,1.0,copper terrace,5.969000000000,30.152000000000,5.252000000000,0.000000000000,25.209000000000,31.059000000000
1131,2020-12-20,2258,Eastern Ontario,parisien manor,Cornwall,65,0,0,0,For-Profit,Yes,No,Yes,0.0,1.0,0.0,1.0,1.0,parisien manor,1.382000000000,31.040000000000,4.478000000000,4.371000000000,24.292000000000,8.569000000000
1133,2020-07-17,3895,Toronto,garden court nursing home,Etobicoke,45,4,10,4,For-Profit,Yes,Yes,No,2.0,12.0,0.0,0.0,0.0,garden court nursing home,47.587000000000,11.680000000000,1.580000000000,2.083000000000,9.927000000000,32.797000000000
1135,2021-03-02,5183,Huron Perth,seaforth long term care home,Seaforth,63,0,5,0,For-Profit,Yes,Yes,Yes,,,,,,,,,,,,
1149,2021-01-18,2268,Windsor-Essex,richmond terrace,Amherstburg,128,0,0,4,For-Profit,Yes,Yes,Yes,0.0,0.0,0.0,5.0,5.0,richmond terrace,1.561000000000,32.782000000000,0.910000000000,3.835000000000,15.910000000000,13.886000000000
1160,2021-01-24,2258,Eastern Ontario,caressant care bourget,Bourget,56,0,0,4,For-Profit,Yes,Yes,Yes,0.0,0.0,0.0,0.0,2.0,caressant care bourget,5.908000000000,34.986000000000,2.392000000000,0.000000000000,12.642000000000,22.112000000000
1500,2021-01-13,2246,Niagara,west park health centre,St. Catharines,101,0,4,4,For-Profit,Yes,Yes,Yes,0.0,0.0,1.0,5.0,1.0,west park health centre,2.340000000000,20.148000000000,5.840000000000,0.728000000000,39.869000000000,35.730000000000
1856,2020-05-18,2261,Sudbury,wikwemikong nursing home,Wikwemikong,59,4,0,0,Non-Profit,Yes,No,Yes,5.0,22.0,10.0,15.0,6.0,wikwemikong nursing home,3.200000000000,34.942000000000,4.714000000000,0.958000000000,29.921000000000,19.458000000000
1866,2020-05-30,2246,Niagara,kilean lodge,Grimsby,50,0,0,4,For-Profit,Yes,Yes,Yes,0.0,4.0,0.0,0.0,0.0,kilean lodge,1.692000000000,16.005000000000,1.501000000000,1.887000000000,17.617000000000,15.829000000000
1975,2021-03-12,5183,Huron Perth,hillside manor,Stratford,90,0,0,4,For-Profit,Yes,Yes,Yes,0.0,8.0,0.0,0.0,0.0,hillside manor,6.423000000000,17.109000000000,2.890000000000,0.000000000000,10.296000000000,12.077000000000
2088,2021-03-12,2258,Eastern Ontario,heartwood,Cornwall,118,0,0,4,For-Profit,Yes,Yes,Yes,0.0,8.0,0.0,4.0,2.0,heartwood,2.725000000000,24.316000000000,2.711000000000,1.250000000000,9.910000000000,18.914000000000
2113,2020-12-18,2270,York Region,king city lodge nursing home,King City,36,4,11,4,For-Profit,Yes,Yes,Yes,0.0,3.0,0.0,0.0,0.0,king city lodge nursing home,14.723000000000,10.053000000000,7.174000000000,0.000000000000,9.632000000000,13.253000000000
2117,2020-11-03,3895,Toronto,extendicare scarborough,Scarborough,154,4,14,4,For-Profit,Yes,Yes,Yes,1.0,5.0,0.0,0.0,0.0,extendicare scarborough,2.942000000000,10.809000000000,3.964000000000,0.000000000000,17.341000000000,24.683000000000
2124,2021-03-03,2253,Peel,cooksville care centre,Mississauga,192,0,21,4,For-Profit,Yes,Yes,Yes,1.0,12.0,0.0,0.0,2.0,cooksville care centre,2.686000000000,14.439000000000,0.868000000000,0.602000000000,15.044000000000,9.829000000000
2129,2021-01-13,2268,Windsor-Essex,iler lodge,Essex,104,0,4,4,For-Profit,Yes,Yes,Yes,0.0,7.0,2.0,9.0,3.0,iler lodge,2.596000000000,23.922000000000,1.501000000000,0.922000000000,14.862000000000,10.309000000000
2131,2020-12-28,3895,Toronto,rockcliffe care community,Scarborough,204,0,23,4,For-Profit,Yes,Yes,Yes,2.0,4.0,0.0,0.0,0.0,rockcliffe care community,1.381000000000,5.139000000000,2.007000000000,1.197000000000,19.736000000000,17.685000000000
2134,2021-03-07,2265,Waterloo,derbecker's heritage house,St. Jacob's,72,4,0,0,For-Profit,Yes,No,No,0.0,1.0,0.0,0.0,0.0,derbecker's heritage house,1.153000000000,30.626000000000,1.554000000000,0.000000000000,14.666000000000,16.686000000000
2164,2021-03-12,3895,Toronto,extendicare guildwood,Scarborough,169,0,48,4,For-Profit,Yes,Yes,Yes,1.0,6.0,0.0,0.0,0.0,extendicare guildwood,1.239000000000,13.435000000000,1.889000000000,0.320000000000,22.872000000000,15.546000000000
2173,2021-02-11,2244,Middlesex-London,extendicare london,London,170,4,4,4,For-Profit,Yes,Yes,Yes,0.0,0.0,0.0,1.0,1.0,extendicare london,11.389000000000,16.155000000000,2.010000000000,0.000000000000,21.126000000000,7.330000000000
2174,2021-03-12,2270,York Region,the willows estate nursing home,Aurora,84,4,13,4,For-Profit,Yes,No,Yes,3.0,10.0,0.0,0.0,0.0,the willows estate nursing home,8.213000000000,8.352000000000,2.070000000000,0.635000000000,15.241000000000,17.125000000000
2201,2020-12-04,3895,Toronto,norwood nursing home,Toronto,60,0,5,0,For-Profit,Yes,Yes,Yes,0.0,0.0,0.0,0.0,0.0,norwood nursing home,0.000000000000,23.583000000000,3.254000000000,0.388000000000,10.454000000000,37.030000000000
2211,2021-03-11,3895,Toronto,maynard nursing home,Toronto,77,0,4,4,For-Profit,Yes,Yes,Yes,,,,,,maynard nursing home,8.214000000000,20.698000000000,3.882000000000,0.230000000000,17.593000000000,18.988000000000
2217,2021-03-12,2242,Lambton,trillium villa nursing home,Sarnia,152,0,0,4,For-Profit,Yes,No,Yes,0.0,4.0,0.0,0.0,0.0,trillium villa nursing home,1.513000000000,6.847000000000,0.794000000000,0.533000000000,8.636000000000,5.941000000000
2240,2021-03-11,2270,York Region,eagle terrace,Newmarket,70,0,4,4,For-Profit,Yes,Yes,Yes,0.0,3.0,0.0,0.0,0.0,eagle terrace,1.478000000000,9.173000000000,0.252000000000,0.000000000000,13.178000000000,15.593000000000
2263,2021-02-04,2268,Windsor-Essex,banwell gardens care centre,Tecumseh,142,4,23,0,For-Profit,Yes,Yes,Yes,0.0,3.0,0.0,3.0,3.0,banwell gardens care centre,5.635000000000,18.207000000000,3.282000000000,0.000000000000,19.306000000000,12.481000000000
2301,2021-01-11,2268,Windsor-Essex,brouillette manor,Tecumseh,60,0,0,4,For-Profit,Yes,Yes,Yes,0.0,3.0,0.0,0.0,0.0,brouillette manor,6.645000000000,36.044000000000,6.475000000000,1.564000000000,21.413000000000,31.087000000000
2302,2021-03-10,2251,Ottawa,extendicare new orchard lodge,Ottawa,111,0,0,0,For-Profit,Yes,No,Yes,0.0,2.0,0.0,5.0,3.0,extendicare new orchard lodge,10.313000000000,23.098000000000,0.946000000000,1.544000000000,19.416000000000,8.800000000000
2321,2021-02-20,2246,Niagara,extendicare st. catharines,St. Catharines,153,0,42,5,For-Profit,Yes,Yes,Yes,0.0,0.0,0.0,1.0,2.0,extendicare st. catharines,2.588000000000,31.079000000000,1.480000000000,3.415000000000,15.907000000000,11.999000000000
2358,2021-02-24,2266,Wellington-Dufferin-Guelph,lapointe-fisher nursing home,Guelph,92,0,0,4,For-Profit,Yes,Yes,Yes,2.0,9.0,1.0,3.0,1.0,lapointe-fisher nursing home,17.565000000000,25.094000000000,3.445000000000,2.046000000000,23.512000000000,18.547000000000
2364,2021-03-12,2246,Niagara,garden city manor,St. Catharines,200,0,25,0,For-Profit,Yes,Yes,Yes,0.0,0.0,0.0,0.0,0.0,garden city manor,8.258000000000,16.098000000000,1.598000000000,3.168000000000,22.726000000000,12.803000000000
2408,2021-02-23,2236,Halton,maple villa long term care centre,Burlington,93,0,0,4,For-Profit,Yes,Yes,Yes,0.0,1.0,0.0,0.0,0.0,maple villa long term care centre,0.000000000000,24.130000000000,2.065000000000,0.687000000000,9.479000000000,ST
2420,2021-01-14,2251,Ottawa,carlingview manor,Ottawa,303,0,61,4,For-Profit,Yes,Yes,Yes,0.0,11.0,3.0,19.0,11.0,carlingview manor,0.939000000000,18.297000000000,1.277000000000,5.177000000000,17.079000000000,22.670000000000
2439,2021-03-11,2230,Durham,extendicare oshawa,Oshawa,175,0,0,4,For-Profit,Yes,Yes,Yes,0.0,5.0,0.0,4.0,5.0,extendicare oshawa,12.850000000000,15.911000000000,2.672000000000,0.215000000000,18.667000000000,11.779000000000
2460,2021-02-02,3895,Toronto,extendicare bayview,North York,205,4,14,0,For-Profit,Yes,Yes,Yes,0.0,8.0,0.0,0.0,0.0,extendicare bayview,3.318000000000,7.551000000000,1.520000000000,0.829000000000,13.738000000000,9.493000000000
2468,2021-01-07,3895,Toronto,eatonville care centre,Etobicoke,247,0,42,0,For-Profit,Yes,Yes,Yes,0.0,12.0,0.0,0.0,0.0,eatonville care centre,0.000000000000,16.481000000000,1.359000000000,1.768000000000,14.455000000000,15.795000000000
2471,2020-05-06,2265,Waterloo,chartwell elmira long term care residence,Elmira,48,4,0,0,For-Profit,Yes,No,Yes,0.0,0.0,0.0,0.0,0.0,chartwell elmira long term care residence,3.629000000000,13.600000000000,3.301000000000,0.000000000000,19.758000000000,12.172000000000
2472,2021-02-25,2253,Peel,camilla care community,Mississauga,236,4,68,4,For-Profit,Yes,Yes,Yes,1.0,10.0,0.0,1.0,2.0,camilla care community,0.143000000000,15.943000000000,1.429000000000,0.912000000000,7.839000000000,23.408000000000
2485,2021-03-02,2251,Ottawa,extendicare starwood,Nepean,192,0,26,0,For-Profit,Yes,Yes,Yes,0.0,0.0,1.0,9.0,5.0,extendicare starwood,9.124000000000,30.793000000000,1.934000000000,4.536000000000,17.091000000000,19.341000000000
2503,2021-02-16,3895,Toronto,craiglee nursing home,Scarborough,169,0,29,0,For-Profit,Yes,Yes,Yes,3.0,21.0,1.0,5.0,5.0,craiglee nursing home,7.771000000000,18.761000000000,2.888000000000,2.511000000000,17.255000000000,20.608000000000
2513,2020-12-29,2233,Grey-Bruce,errinrung long term care home,Thornbury,60,0,0,4,For-Profit,Yes,Yes,Yes,,,,,,errinrung long term care home,1.896000000000,36.277000000000,1.610000000000,0.000000000000,19.809000000000,6.091000000000
2515,2021-02-09,3895,Toronto,elm grove living centre,Toronto,126,0,19,4,For-Profit,Yes,No,Yes,0.0,1.0,0.0,0.0,0.0,elm grove living centre,1.142000000000,2.912000000000,2.216000000000,0.000000000000,13.860000000000,24.655000000000
2534,2021-02-15,2230,Durham,thorntonview,Oshawa,154,0,24,4,For-Profit,Yes,Yes,Yes,0.0,7.0,0.0,0.0,0.0,thorntonview,3.790000000000,8.141000000000,2.417000000000,1.643000000000,20.313000000000,14.783000000000
2541,2021-02-09,2268,Windsor-Essex,berkshire care centre,Windsor,231,4,16,4,For-Profit,Yes,Yes,Yes,0.0,0.0,0.0,19.0,6.0,berkshire care centre,5.138000000000,22.042000000000,4.000000000000,2.606000000000,23.487000000000,24.681000000000
2556,2021-02-22,3895,Toronto,chartwell gibson long term care residence,North York,202,4,25,0,For-Profit,Yes,No,Yes,0.0,2.0,0.0,0.0,0.0,chartwell gibson long term care residence,0.945000000000,10.545000000000,0.522000000000,1.376000000000,12.309000000000,15.958000000000
2570,2021-01-25,2227,Brant,fox ridge care community,Brantford,122,0,0,4,For-Profit,Yes,Yes,Yes,0.0,0.0,0.0,2.0,1.0,fox ridge care community,8.752000000000,18.471000000000,3.526000000000,3.183000000000,13.310000000000,9.638000000000
2573,2021-01-21,2242,Lambton,sumac lodge,Sarnia,100,0,0,4,For-Profit,Yes,Yes,Yes,0.0,1.0,0.0,0.0,0.0,sumac lodge,5.151000000000,3.513000000000,0.489000000000,2.381000000000,11.338000000000,15.526000000000
2575,2021-01-18,3895,Toronto,vermont square,Toronto,130,4,11,4,For-Profit,Yes,Yes,Yes,0.0,2.0,0.0,1.0,1.0,vermont square,0.000000000000,2.584000000000,0.638000000000,0.218000000000,9.558000000000,13.489000000000
2576,2020-12-28,2268,Windsor-Essex,country village homes - woodslee,Woodslee,104,4,18,4,For-Profit,Yes,Yes,Yes,0.0,2.0,0.0,5.0,2.0,country village homes - woodslee,10.622000000000,41.864000000000,3.662000000000,6.149000000000,16.830000000000,21.544000000000
2577,2021-03-07,2236,Halton,mount nemo christian nursing home,Burlington,61,0,8,0,Non-Profit,Yes,Yes,Yes,3.0,9.0,0.0,0.0,1.0,mount nemo christian nursing home,3.562000000000,11.978000000000,2.761000000000,7.374000000000,21.389000000000,17.408000000000
2579,2021-03-12,2251,Ottawa,extendicare medex,Ottawa,193,0,0,4,For-Profit,Yes,No,Yes,1.0,4.0,1.0,6.0,2.0,extendicare medex,11.821000000000,7.193000000000,2.863000000000,3.401000000000,21.218000000000,11.654000000000
2580,2021-01-05,2265,Waterloo,trinity village care centre,Kitchener,150,0,18,0,Non-Profit,Yes,Yes,Yes,2.0,10.0,0.0,4.0,2.0,trinity village care centre,3.802000000000,31.352000000000,4.462000000000,7.582000000000,13.400000000000,15.585000000000
2581,2020-12-31,2237,Hamilton,baywoods place,Hamilton,128,0,4,0,For-Profit,Yes,Yes,Yes,0.0,1.0,0.0,0.0,3.0,baywoods place,3.214000000000,16.007000000000,0.299000000000,0.000000000000,6.728000000000,19.792000000000
2582,2021-01-17,3895,Toronto,the heritage nursing home,Toronto,201,0,0,0,For-Profit,Yes,Yes,Yes,2.0,6.0,0.0,0.0,0.0,the heritage nursing home,11.358000000000,2.134000000000,1.984000000000,0.726000000000,10.640000000000,13.006000000000
2583,2021-01-25,3895,Toronto,chartwell white eagle long term care residence,Toronto,56,0,14,4,For-Profit,Yes,Yes,Yes,0.0,1.0,0.0,0.0,0.0,chartwell white eagle long term care residence,2.538000000000,19.892000000000,2.970000000000,0.000000000000,16.738000000000,22.274000000000
2584,2020-06-22,2260,Simcoe-Muskoka,owen hill care community,Barrie,57,0,12,4,For-Profit,Yes,Yes,Yes,0.0,2.0,0.0,0.0,0.0,owen hill care community,4.740000000000,17.439000000000,1.735000000000,0.000000000000,15.130000000000,19.967000000000
2585,2020-05-12,2263,Timiskaming,northview nursing home,Englehart,48,4,0,0,For-Profit,Yes,No,Yes,2.0,9.0,7.0,6.0,3.0,northview nursing home,18.566000000000,10.023000000000,2.111000000000,0.981000000000,18.731000000000,16.522000000000
2586,2020-11-09,3895,Toronto,hawthorne place care centre,North York,269,0,51,0,For-Profit,Yes,Yes,Yes,1.0,7.0,8.0,31.0,5.0,hawthorne place care centre,0.958000000000,18.559000000000,2.422000000000,0.160000000000,12.789000000000,22.491000000000
